ticker,rs_days,ipo_days_eff,fresh_via,as_of_date
CDNG,,53,ipo,2026-08-15
CDNL,,248,ipo,2026-08-15
CDPI,,32,ipo,2026-08-15
CDT,26,1055,rs,2026-08-15
CDTG,75,849,rs,2026-08-15
CELT,,311,ipo,2026-08-15
CENN,124,1674,rs,2026-08-15
CEPF,,359,ipo,2026-08-15
CEPL,,38,ipo,2026-08-15
CEPS,,191,ipo,2026-08-15
CEPV,,284,ipo,2026-08-15
CETX,71,4069,rs,2026-08-15
CETY,313,1241,rs,2026-08-15
CFNB,64,,rs,2026-08-15
CGCFU,,51,ipo,2026-08-15
CGOV,,72,ipo,2026-08-15
CGTL,39,627,rs,2026-08-15
CHAI,,312,ipo,2026-08-15
CHARU,,81,ipo,2026-08-15
CHCCX,302,,rs,2026-08-15
CHEC,,277,ipo,2026-08-15
CHECU,,333,ipo,2026-08-15
CHECW,,277,ipo,2026-08-15
CHGA,,24,ipo,2026-08-15
CHMMF,115,,rs,2026-08-15
CHNL,,136,ipo,2026-08-15
CHNU,,136,ipo,2026-08-15
CHNVF,43,,rs,2026-08-15
CHOW,,333,ipo,2026-08-15
CHPGU,,71,ipo,2026-08-15
CHPX,,318,ipo,2026-08-15
CHR,130,1010,rs,2026-08-15
CHRI,,325,ipo,2026-08-15
CHRN,,102,ipo,2026-08-15
CHSN,100,1234,rs,2026-08-15
CHYG,,72,ipo,2026-08-15
CICC,4443,184,ipo,2026-08-15
CIEG,,95,ipo,2026-08-15
CIEI,,72,ipo,2026-08-15
CIEX,,45,ipo,2026-08-15
CIFC,,46,ipo,2026-08-15
CIFG,,247,ipo,2026-08-15
CIFU,,267,ipo,2026-08-15
CIGL,,25,ipo,2026-08-15
CIIT,26,492,rs,2026-08-15
CIMP,,331,ipo,2026-08-15
CIR,,39,ipo,2026-08-15
CIRC,7220,44,ipo,2026-08-15
CISS,110,1150,rs,2026-08-15
CITR,,254,ipo,2026-08-15
CIVG,,72,ipo,2026-08-15
CJUL,,44,ipo,2026-08-15
CJUN,,74,ipo,2026-08-15
CLBR,,141,ipo,2026-08-15
CLBR.U,,192,ipo,2026-08-15
CLBR.WS,,141,ipo,2026-08-15
CLDI,15,1067,rs,2026-08-15
